id,product_id,name,value,attributes,sku,barcode,price,stock,image_url,created_at,updated_at,referencia,medidas,price_varejo,price_atacado,price_atacarejo
4cff092f-17f5-4a31-8839-00f662ba741f,efd99cb1-9ca2-444d-826c-ac6c28645b53,null,null,"[{""name"":""Cor"",""value"":""CAQUI""},{""name"":""Tamanho"",""value"":""40""}]",BATFIOBER40CQ,BATCQ40,149.9,0,,2026-01-07 14:39:53.539701+00,2026-01-14 00:01:50.85432+00,BATCQ40,null,149.9,129.9,119.9
d6722353-9078-4e8d-be50-3e7fb819231b,10732209-0f46-4a3a-ba9a-be65edf23eef,null,null,"[{""name"":""Cor"",""value"":""VERDE MENTA ""},{""name"":""Tamanho"",""value"":""P""}]",null,GPVMP,99.9,2,null,2026-02-02 18:48:15.151489+00,2026-02-07 20:25:20.372279+00,GPVMP,null,99.9,69.9,59.9
f8a31dad-fbe9-4a97-9f37-325a688fd520,85577242-9a7c-4e76-9208-e9f7c5979da6,null,null,"[{""name"":""Cor"",""value"":""BEGE""},{""name"":""Tamanho"",""value"":""38""}]",CA1FIOCAL38BG,CABG38,169.9,16,null,2026-01-08 18:03:04.288225+00,2026-02-10 13:29:24.035078+00,CABG38,null,169.9,109.9,99.9
dc9ad21e-5c8b-435c-8e86-871c798cbd1f,60ca0f54-cd06-4544-b7d9-a22ad3e10f72,null,null,"[{""name"":""Cor"",""value"":""CINZA""},{""name"":""Tamanho"",""value"":""M""}]",CMLFIOCAMMCIZ,CMLPCZM,169.9,13,null,null,2026-02-07 21:15:29.178231+00,CMLPCZM,null,169.9,109.9,99.9
f78ac01c-17d9-4318-8b87-67f983f67f2d,10732209-0f46-4a3a-ba9a-be65edf23eef,null,null,"[{""name"":""Cor"",""value"":""VERDE CLARO""},{""name"":""Tamanho"",""value"":""P""}]",null,GPVCP,99.9,2,null,2026-02-02 18:48:15.151489+00,2026-02-07 20:25:20.372279+00,GPVCP,null,99.9,69.9,59.9
73ea7429-4b81-4daf-869c-1708f68cc0b0,ea9049a1-c852-4292-9911-8b493e779721,null,null,"[{""name"":""Cor"",""value"":""VERDE MENTA""},{""name"":""Tamanho"",""value"":""38""}]",SHLFIOSHO38VDMT,SHLVDMT38,109.9,1,null,2026-01-31 23:48:51.201456+00,2026-02-07 21:18:29.14652+00,SHLVDMT38,null,109.9,79.9,69.9
02dcb48a-167f-40ce-b421-9efcd7f0f08f,86d4d5c1-1315-47b5-bc19-5a640f902259,null,null,"[{""name"":""Cor"",""value"":""MARROM""},{""name"":""Tamanho"",""value"":""46""}]",null,BAMR46,109.9,7,null,2026-02-08 01:53:41.051983+00,2026-02-21 13:47:29.254785+00,BAMR46,null,109.9,79.9,69.9
57e0b264-ec3c-4f16-903c-ebe6e0bb4714,2f899baa-01e9-4145-ad33-771aef85fee0,null,null,"[{""name"":""Cor"",""value"":""ESCURA""},{""name"":""Tamanho"",""value"":""38""}]",BJ03FIOBER38E,BJ03E38,109.9,3,null,null,2026-02-07 22:06:52.834619+00,BJ03E38,null,109.9,79.9,69.9
7432e7e7-ef9d-4275-a3ab-c7273e0d74b1,10732209-0f46-4a3a-ba9a-be65edf23eef,null,null,"[{""name"":""Cor"",""value"":""PRETA""},{""name"":""Tamanho"",""value"":""P""}]",GOLFIOGOLPPR,GPPRP001,99.9,10,null,null,2026-02-07 20:25:20.372279+00,GPPRP001,null,99.9,69.9,59.9
fb69ea13-f1c0-4123-8cb6-11268fc24fc8,bb161f33-de85-4621-9429-c6b82f2bc12c,null,null,"[{""name"":""Cor"",""value"":""FUCSIA""},{""name"":""Tamanho"",""value"":""G""}]",null,CBFCG,89.9,5,https://ovpfcyqudltassvckvxk.supabase.co/storage/v1/object/public/img-products/1770559508491_CB_FUCSIA.jpeg,2026-02-07 20:06:05.979161+00,2026-02-19 11:11:04.517958+00,CBFCG,null,89.9,59.9,49.9
56de9029-3bb0-4b08-b01f-4510c71f5d3c,85577242-9a7c-4e76-9208-e9f7c5979da6,null,null,"[{""name"":""Cor"",""value"":""MARROM""},{""name"":""Tamanho"",""value"":""38""}]",null,null,null,1,null,2026-01-14 17:23:45.433204+00,2026-02-10 13:29:24.035078+00,null,null,null,null,null
b58fb0aa-1e37-4a81-b733-082076bd90e7,c0ceac33-90da-4a7c-bdb6-31b4a99fb332,null,null,"[{""name"":""Cor"",""value"":""GOIABA""},{""name"":""Tamanho"",""value"":""P""}]",GOLFIOCAMPGO,GMGBP001,99.9,4,https://ovpfcyqudltassvckvxk.supabase.co/storage/v1/object/public/img-products/1770564846755_GM_GOIABA.jpeg,null,2026-02-21 13:56:26.605327+00,GMGBP001,null,99.9,69.9,59.9
1d78db4a-b898-4983-9c27-5ea753310466,d947b898-48f8-40b8-9c64-7af6ba775696,null,null,"[{""name"":""Cor"",""value"":""VERDE OLIVA""},{""name"":""Tamanho"",""value"":""M""}]",CUEFIOCUEMVDO,CUEVOM,29.9,1,null,null,2026-02-07 20:46:02.446739+00,CUEVOM,null,29.9,24.9,19.9
b92d7009-8f2c-4a76-b020-1ad3f32f2555,01c076d9-7dba-41d3-b685-15866a06a95c,null,null,"[{""name"":""Cor"",""value"":""MARRON""},{""name"":""Tamanho"",""value"":""ÚNICO""}]",GRAFIOGRAMAR,GRVMR,39.9,1,null,2026-01-13 17:21:38.723542+00,2026-02-08 02:35:27.485512+00,GRVMR,null,39.9,33.33,33.33
bfcc5547-f839-4db0-95f3-f651d5a68c0d,10732209-0f46-4a3a-ba9a-be65edf23eef,null,null,"[{""name"":""Cor"",""value"":""VERMELHO""},{""name"":""Tamanho"",""value"":""P""}]",GOLFIOGOLPVER,GPVMLP001,99.9,3,null,null,2026-02-07 20:25:20.372279+00,GPVMLP001,null,99.9,69.9,59.9
ca2301fc-a71a-4e13-ac66-2fb2b3b2dc86,ea9049a1-c852-4292-9911-8b493e779721,null,null,"[{""name"":""Cor"",""value"":""CINZA CLARO""},{""name"":""Tamanho"",""value"":""38""}]",SHLFIOSHO38CZ,SHLCZC38,109.9,7,null,null,2026-02-07 21:18:29.14652+00,SHLCZC38,null,109.9,79.9,69.9
d5c799bc-5ea5-481e-aeb4-479df3e23d53,49bf1ad0-67d0-407d-8daf-acba34680d10,null,null,"[{""name"":""Cor"",""value"":""PRETA""},{""name"":""Tamanho"",""value"":""44""}]",null,CSRPR44,269.9,1,null,2026-02-07 23:00:30.974129+00,2026-02-07 23:04:22.342279+00,CSRPR44,null,269.9,209.9,199.9
0492f444-094d-4ecd-8d96-12e8af2d4ddd,86d4d5c1-1315-47b5-bc19-5a640f902259,null,null,"[{""name"":""Cor"",""value"":""BEGE MÉDIA""},{""name"":""Tamanho"",""value"":""46""}]",null,BABGM46,109.9,1,null,2026-02-08 01:53:41.051983+00,2026-02-21 13:47:29.254785+00,BABGM46,null,109.9,79.9,69.9
0ab456c7-bc2f-4f38-89f7-929764bcb1f0,10732209-0f46-4a3a-ba9a-be65edf23eef,null,null,"[{""name"":""Cor"",""value"":""AZUL""},{""name"":""Tamanho"",""value"":""P""}]",GOLFIOGOLPAZ,GPAZP001,99.9,9,null,null,2026-02-07 20:25:20.372279+00,GPAZP001,null,99.9,69.9,59.9
065e60de-918c-44d3-bc7a-c05c47f8a27b,ea9049a1-c852-4292-9911-8b493e779721,null,null,"[{""name"":""Cor"",""value"":""OFF""},{""name"":""Tamanho"",""value"":""42""}]",SHLFIOSHO42OFF,SHLOFF42,109.9,1,null,null,2026-02-07 21:18:29.14652+00,SHLOFF42,null,109.9,79.9,69.9
208f83ac-a715-49de-a4b5-ed057fffb3c6,60ca0f54-cd06-4544-b7d9-a22ad3e10f72,null,null,"[{""name"":""Cor"",""value"":""CINZA""},{""name"":""Tamanho"",""value"":""G""}]",CMLFIOCAMGCIZ,CMLPCZG,169.9,6,null,null,2026-02-07 21:15:29.178231+00,CMLPCZG,null,169.9,109.9,99.9
cd108983-52cb-4bfd-ae8b-2ac1e65410a3,54088120-97c3-423c-adda-76febb0ff5ad,null,null,"[{""name"":""Cor"",""value"":""BRANCA""},{""name"":""Tamanho"",""value"":""48""}]",CIGFIOCAL48BR,CIGBR48,169.9,4,null,2026-01-08 19:30:40.104449+00,2026-02-07 19:10:02.65898+00,CIGBR48,null,169.9,109.9,99.9
12bf884f-0451-447d-a167-6a4007e61598,49bf1ad0-67d0-407d-8daf-acba34680d10,null,null,"[{""name"":""Cor"",""value"":""AZUL MARINHO""},{""name"":""Tamanho"",""value"":""46""}]",null,CSRAZM46,269.9,1,null,2026-02-07 23:00:30.974129+00,2026-02-07 23:04:22.342279+00,CSRAZM46,null,269.9,209.9,199.9
a09f8c10-7d3f-48b2-bb18-29a0ed218af5,60ca0f54-cd06-4544-b7d9-a22ad3e10f72,null,null,"[{""name"":""Cor"",""value"":""AZUL BEBE""},{""name"":""Tamanho"",""value"":""G""}]",CMLFIOCAMGAZB,CMLPABBG,169.9,4,null,null,2026-02-07 21:15:29.178231+00,CMLPABBG,null,169.9,109.9,99.9
2f0d17f2-64d3-4eb0-896a-295017c00eaa,49bf1ad0-67d0-407d-8daf-acba34680d10,null,null,"[{""name"":""Cor"",""value"":""BEGE""},{""name"":""Tamanho"",""value"":""44""}]",null,CSRBG44,269.9,2,null,2026-02-07 23:00:30.974129+00,2026-02-07 23:04:22.342279+00,CSRBG44,null,269.9,209.9,199.9
54172a6a-31b1-4c92-bda7-65a91b078cc0,60ca0f54-cd06-4544-b7d9-a22ad3e10f72,null,null,"[{""name"":""Cor"",""value"":""CAQUI""},{""name"":""Tamanho"",""value"":""P""}]",CMLFIOCAMPCAQ,CMLPCQP,169.9,4,null,null,2026-02-07 21:15:29.178231+00,CMLPCQP,null,169.9,109.9,99.9
1fdb1d09-c0ac-496c-bf3b-ce41deea8466,54088120-97c3-423c-adda-76febb0ff5ad,null,null,"[{""name"":""Cor"",""value"":""BEGE""},{""name"":""Tamanho"",""value"":""44""}]",CIGFIOCAL44BG,CIGBG44,169.9,20,null,2026-01-14 17:03:05.140522+00,2026-02-07 19:10:02.65898+00,CIGBG44,null,169.9,109.9,99.9
643e8745-10a1-4398-b8f8-355b985a22cd,01c076d9-7dba-41d3-b685-15866a06a95c,null,null,"[{""name"":""Cor"",""value"":""PRATA""},{""name"":""Tamanho"",""value"":""ÚNICO""}]",GRAFIOGRAPRAT,GRVPRT,39.9,2,null,null,2026-02-08 02:35:27.485512+00,GRVPRT,null,39.9,33.33,33.33
e63be08c-444c-4fcc-8b84-ceeadd1d1526,ea9049a1-c852-4292-9911-8b493e779721,null,null,"[{""name"":""Cor"",""value"":""CAPPUCINO""},{""name"":""Tamanho"",""value"":""40""}]",SHLFDG40CPC,SHLCPC40,109.9,1,null,2026-01-31 23:54:03.561906+00,2026-02-07 21:18:29.14652+00,SHLCPC40,null,109.9,79.9,69.9
b4062615-dc2a-4a62-89bf-064eee1f27c9,86d4d5c1-1315-47b5-bc19-5a640f902259,null,null,"[{""name"":""Cor"",""value"":""AREIA""},{""name"":""Tamanho"",""value"":""46""}]",null,BAAR46,109.9,1,null,2026-02-08 01:53:41.051983+00,2026-02-21 13:47:29.254785+00,BAAR46,null,109.9,79.9,69.9
91dcd97b-d357-4dcf-98e4-d6d1a240ee50,49bf1ad0-67d0-407d-8daf-acba34680d10,null,null,"[{""name"":""Cor"",""value"":""CAQUI""},{""name"":""Tamanho"",""value"":""46""}]",null,CSRCQ46,269.9,2,null,2026-02-07 23:00:30.974129+00,2026-02-07 23:04:22.342279+00,CSRCQ46,null,269.9,209.9,109.9
3bdf189a-8d2a-44ef-b834-2342ea894f08,ea9049a1-c852-4292-9911-8b493e779721,null,null,"[{""name"":""Cor"",""value"":""CARAMELO""},{""name"":""Tamanho"",""value"":""44""}]",SHLFIOSHO44CR,SHLCAR44,109.9,1,null,2026-01-31 23:54:03.561906+00,2026-02-07 21:18:29.14652+00,SHLCAR44,null,109.9,79.9,69.9
dc079d16-c11a-4df8-bced-32062ce73ebc,3b26d382-0214-4e6b-90fc-b456307a743c,null,null,"[{""name"":""Cor"",""value"":""AZUL MARINHO""},{""name"":""Tamanho"",""value"":""P""}]",GOLFIOGOLPAZ,GPVAZMP001,119.9,12,null,2026-01-05 20:02:51.439784+00,2026-02-07 19:38:07.580786+00,GPVAZMP001,null,119.9,89.9,79.9
d08699b3-8b7a-4fa7-a8f7-6175016ebdba,49bf1ad0-67d0-407d-8daf-acba34680d10,null,null,"[{""name"":""Cor"",""value"":""CINZA""},{""name"":""Tamanho"",""value"":""46""}]",null,CSRCZ46,269.9,3,null,2026-02-07 23:04:22.342279+00,2026-02-07 23:04:22.342279+00,CSRCZ46,null,269.9,209.9,199.9
5b4fc42e-e6bb-4255-b76e-ac4870d0055d,54088120-97c3-423c-adda-76febb0ff5ad,null,null,"[{""name"":""Cor"",""value"":""GELO""},{""name"":""Tamanho"",""value"":""42""}]",CIGFIOCAL42GL,CIGGL42,169.9,1,null,null,2026-02-07 19:10:02.65898+00,CIGGL42,null,169.9,109.9,99.9
523c7dcc-1e99-46e8-a198-1178d00309e0,d947b898-48f8-40b8-9c64-7af6ba775696,null,null,"[{""name"":""Cor"",""value"":""AZUL BEBE""},{""name"":""Tamanho"",""value"":""P""}]",null,CUEAZBP,29.9,7,null,2026-02-07 20:40:35.376971+00,2026-02-07 20:46:02.446739+00,CUEAZBP,null,29.9,24.9,19.9
e0777f34-551b-4936-9adc-c14231e698e0,72af4ce9-c6c5-417e-a8cc-d50a29aabdb0,null,null,"[{""name"":""Cor"",""value"":""CHOCOLATE""},{""name"":""Tamanho"",""value"":""48""}]",PTFDG02CH,PT02CH48,1,23,"https://ovpfcyqudltassvckvxk.supabase.co/storage/v1/object/public/img-products/1769689887196_ChatGPT_Image_26_de_jan._de_2026,_14_43_02.png",2026-01-29 12:31:28.917607+00,2026-02-25 11:09:58.451581+00,PT02CH48,null,1,1,1
